"COUNTRY","Imports.2016"
"Mexico",294151.0397
"China",462813.0005
"Canada",278066.769
"South Korea",69932.34619
"Germany",114227.422
"Saudi Arabia",16925.90931
"Vietnam",42109.16104
"Malaysia",36687.29296
"Japan",132201.8281
"Venezuela",10891.81973
"Brazil",26175.6633
"United Kingdom",54326.07966
"Thailand",29492.52209
"Italy",45210.07947
"France",46764.58332
"Russia",14512.46222
"India",45998.43829
"Colombia",13795.80198
"Taiwan",39312.75843
"Iraq",5965.052784
"Ireland",45503.86581
"Netherlands",16151.69137
"Spain",13467.93549
"Kuwait",3312.386702
"Belgium",17019.8223
